                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.95461,                 1.1804,                0.48728,                 1.2089,                0.99418,                0.99178,                 0.9945,                0.74657,                0.76513,                 0.7589,                0.64142,                0.22085,                 1.0036,                0.85122,                0.38945,                 1.5231,              0.0010892,              0.0010892,              0.0010892
                     26,                0.95823,                 1.1783,                0.48271,                 1.2071,                0.98831,                0.99178,                0.99387,                0.76899,                0.74527,                0.74795,                0.66338,                0.23284,                0.95732,                0.83458,                0.39381,                 1.4581,              0.0010496,              0.0010496,              0.0010496
                     27,                0.94758,                 1.1756,                0.47418,                 1.2002,                0.98609,                0.99178,                0.99185,                0.76119,                0.71843,                0.72055,                0.60261,                0.20782,                0.94082,                0.86344,                0.38649,                 1.4388,                0.00101,                0.00101,                0.00101
                     28,                0.97298,                 1.1839,                0.48563,                 1.2162,                0.99726,                0.99663,                0.99445,                0.76159,                0.75053,                0.75008,                0.63052,                 0.2076,                0.98254,                0.84046,                 0.3935,                 1.5118,              0.0009704,              0.0009704,              0.0009704
                     29,                0.93478,                 1.1501,                0.46326,                 1.1945,                0.99948,                      1,                  0.995,                0.76042,                0.71469,                0.71507,                0.58735,                0.19405,                 0.9579,                0.84507,                0.36681,                 1.4838,              0.0009308,              0.0009308,              0.0009308
                     30,                0.93413,                 1.1691,                0.46702,                 1.1966,                0.99455,                0.99995,                0.99497,                0.77867,                0.74914,                0.75342,                0.66307,                0.24219,                0.94664,                0.84399,                 0.3731,                 1.4831,              0.0008912,              0.0008912,              0.0008912
                     31,                0.93351,                 1.1688,                0.46643,                  1.189,                0.98637,                0.99131,                 0.9945,                0.75927,                0.74607,                0.74058,                0.60923,                0.21446,                0.93603,                0.83457,                 0.3877,                 1.4646,              0.0008516,              0.0008516,              0.0008516
                     32,                0.92177,                 1.1533,                0.45183,                 1.1746,                0.99973,                      1,                  0.995,                0.77185,                0.73121,                0.73151,                0.62169,                0.20216,                0.91852,                0.84526,                0.35568,                 1.4389,               0.000812,               0.000812,               0.000812
                     33,                0.93795,                 1.1828,                0.45679,                  1.189,                0.99366,                0.99452,                0.99489,                0.77209,                0.75261,                0.75342,                0.66619,                 0.2312,                 0.9339,                 0.8381,                0.35908,                 1.4195,              0.0007724,              0.0007724,              0.0007724
                     34,                0.90015,                 1.1757,                 0.4461,                 1.1761,                0.99696,                      1,                  0.995,                0.79105,                0.74551,                0.74795,                0.63791,                0.22035,                0.88941,                0.83642,                 0.3535,                 1.3903,              0.0007328,              0.0007328,              0.0007328
                     35,                0.86698,                 1.1233,                0.42925,                 1.1484,                0.99677,                0.99726,                0.99478,                0.79718,                0.73654,                0.73699,                0.62266,                  0.209,                0.86745,                0.81868,                0.33457,                 1.3702,              0.0006932,              0.0006932,              0.0006932
                     36,                0.87537,                 1.1327,                0.42724,                 1.1597,                0.99695,                      1,                0.99418,                0.77273,                0.75244,                0.75342,                0.62009,                0.20503,                 0.8743,                0.83641,                0.35197,                 1.3864,              0.0006536,              0.0006536,              0.0006536
                     37,                0.88165,                 1.1544,                0.42345,                 1.1532,                0.99964,                      1,                  0.995,                0.75628,                 0.7778,                0.77808,                0.64898,                 0.2221,                 0.9359,                0.82992,                0.35768,                 1.4176,               0.000614,               0.000614,               0.000614
